client,action_id,action_type,insured_id,insured_name,status,created_at,updated_at,scheduled_at,completed_at,notes,triggered_by,sync_date,sync_timestamp
Canadian Pacific Kansas City,72780aa9-1245-465d-bcbd-a04352ec02f6,,08f5437c-30cd-4d85-bafe-c25dabf22883,,,2026-06-05T15:28:28,,,,,,06/05/2026,06/05/2026 10:42:02
Canadian Pacific Kansas City,d87b9280-c3bf-4098-b4ad-94265b53f83e,,,,,2026-06-05T13:30:47,,,,,,06/05/2026,06/05/2026 10:42:02
EMMES,11bdef0a-6891-4bbe-9b9d-dd85c112f2bf,,c1859108-4889-4358-a777-c7e132fc00fb,,,2026-06-05T14:04:44,,,,,,06/05/2026,06/05/2026 10:42:02
The Abbey Management Company,dcc21a41-8398-4c1a-af19-9cbdf7902041,,90ea8a34-3113-4332-a12a-adb77b6a9798,,,2026-06-05T15:13:22,,,,,,06/05/2026,06/05/2026 10:42:24
